train_step,train guidance replacements,train safety replacements
0,13,8
1,17,13
2,32,20
3,53,27
4,70,34
5,76,56
6,93,64
7,113,74
8,113,78
9,118,88
10,125,97
11,127,100
12,127,101
13,133,103
14,141,105
15,142,115
16,142,122
17,143,135
18,147,141
19,149,146
20,152,151
21,155,156
22,158,162
23,163,169
24,165,173
25,167,183
26,168,201
27,169,209
28,170,214
29,174,218
30,175,225
31,175,228
32,176,237
33,176,239
34,179,253
35,185,260
36,190,269
37,196,278
38,201,283
39,204,284
40,207,285
41,210,287
42,211,287
43,212,291
44,213,297
45,213,303
46,220,314
47,221,316
48,221,320
49,222,323
