train_step,train guidance replacements,train safety replacements
0,0,0
1,17,0
2,17,0
3,17,0
4,24,0
5,24,0
6,38,0
7,46,0
8,46,0
9,47,0
10,55,0
11,67,0
12,70,0
13,72,0
14,103,0
15,103,0
16,110,0
17,116,0
18,116,0
19,116,0
20,122,0
21,125,0
22,130,0
23,132,0
24,140,0
25,144,0
26,148,0
27,148,0
28,149,0
29,151,0
30,153,0
31,154,0
32,155,0
33,155,0
34,158,0
35,160,0
36,160,0
37,164,0
38,166,0
39,169,0
40,171,0
41,178,0
42,184,0
43,187,0
44,187,0
45,187,0
46,193,0
47,198,0
48,199,0
49,199,0
