train_step,train guidance replacements,train safety replacements
0,0,12
1,0,30
2,0,46
3,0,64
4,0,88
5,0,92
6,0,98
7,0,99
8,0,100
9,0,130
10,0,144
11,0,159
12,0,186
13,0,192
14,0,199
15,0,208
16,0,218
17,0,220
18,0,222
19,0,227
20,0,231
21,0,234
22,0,240
23,0,246
24,0,250
25,0,253
26,0,258
27,0,262
28,0,267
29,0,269
30,0,276
31,0,282
32,0,290
33,0,302
34,0,310
35,0,313
36,0,320
37,0,330
38,0,330
39,0,332
40,0,341
41,0,343
42,0,345
43,0,345
44,0,352
45,0,362
46,0,378
47,0,385
48,0,394
49,0,407
