train_step,train guidance replacements,train safety replacements
0,3,11
1,4,16
2,9,30
3,13,44
4,15,55
5,16,63
6,18,75
7,20,83
8,23,93
9,24,98
10,33,100
11,35,102
12,35,103
13,39,105
14,44,107
15,45,113
16,49,117
17,52,119
18,54,125
19,57,126
20,58,128
21,59,135
22,61,138
23,62,139
24,63,142
25,65,146
26,71,151
27,72,158
28,75,169
29,76,172
30,78,184
31,82,188
32,83,198
33,88,199
34,91,203
35,94,204
36,96,214
37,98,222
38,101,224
39,104,232
40,107,237
41,112,238
42,117,239
43,120,241
44,123,241
45,125,244
46,128,247
47,134,253
48,137,261
49,139,263
