train_step,train guidance replacements,train safety replacements
0,0,0
1,0,0
2,0,0
3,0,0
4,1,0
5,1,0
6,2,0
7,3,0
8,3,0
9,3,0
10,4,0
11,4,0
12,4,0
13,4,0
14,4,0
15,4,0
16,6,0
17,6,0
18,8,0
19,8,0
20,9,0
21,11,0
22,11,0
23,11,0
24,13,0
25,14,0
26,14,0
27,14,0
28,14,0
29,15,0
30,15,0
31,15,0
32,15,0
33,15,0
34,15,0
35,15,0
36,15,0
37,15,0
38,17,0
39,17,0
40,17,0
41,17,0
42,18,0
43,18,0
44,19,0
45,19,0
46,19,0
47,25,0
48,25,0
49,26,0
