train_step,train guidance replacements,train safety replacements
0,0,16
1,0,32
2,0,51
3,0,57
4,0,84
5,0,101
6,0,104
7,0,123
8,0,156
9,0,169
10,0,178
11,0,198
12,0,201
13,0,210
14,0,218
15,0,226
16,0,228
17,0,230
18,0,235
19,0,238
20,0,241
21,0,258
22,0,262
23,0,267
24,0,273
25,0,285
26,0,286
27,0,293
28,0,299
29,0,306
30,0,310
31,0,315
32,0,322
33,0,327
34,0,335
35,0,342
36,0,358
37,0,363
38,0,363
39,0,366
40,0,372
41,0,378
42,0,384
43,0,400
44,0,403
45,0,411
46,0,416
47,0,423
48,0,425
49,0,429
